;number;id;count;thumbnail_path;error;status;obj_names;obj_scores;ocr_texts;emotions;colors;cropped_colors
0;0;--uXQQ0h-yQ;9;['ERROR'];[True];[404];[];[];;[];[];[]
1;1;-3VBPAZPTQI;14;['images\\maxresdefault\\1_GB_-3VBPAZPTQI_0.jpg'];[False];[200];['person', 'person'];[0.9412501, 0.8961376];" 

 
";['happy'];[([(175, 95, 95), 'IndianRed'], 7588.0), ([(175, 135, 95), 'LightSalmon3'], 6881.0), ([(135, 95, 95), 'LightPink4'], 6294.0), ([(158, 158, 158), 'Grey62'], 4234.0), ([(178, 178, 178), 'Grey70'], 3008.0)];[([(128, 128, 128), 'Gray'], 9942.0), ([(192, 192, 192), 'Silver'], 8323.0), ([(128, 128, 0), 'Olive'], 1142.0), ([(128, 0, 0), 'Maroon'], 992.0), ([(0, 0, 0), 'Black'], 317.0)]
2;2;-43MBOJnVks;2;['images\\maxresdefault\\2_GB_-43MBOJnVks_0.jpg'];[False];[200];['person'];[0.82978743];" 
";[];[([(108, 108, 108), 'Grey42'], 8845.0), ([(118, 118, 118), 'Grey46'], 6879.0), ([(98, 98, 98), 'Grey39'], 6299.0), ([(128, 128, 128), 'Grey'], 5466.0), ([(95, 95, 95), 'Grey37'], 3442.0)];[([(128, 128, 128), 'Gray'], 20030.0), ([(192, 192, 192), 'Silver'], 277.0), ([(128, 128, 0), 'Olive'], 178.0), ([(0, 0, 0), 'Black'], 145.0), ([(128, 0, 0), 'Maroon'], 79.0)]
3;3;-5WBCrazSfg;10;['images\\maxresdefault\\3_GB_-5WBCrazSfg_0.jpg'];[False];[200];['person'];[0.8106267];"  

  

DREAM 5A SIDE
";['happy'];[([(8, 8, 8), 'Grey3'], 9019.0), ([(18, 18, 18), 'Grey7'], 4148.0), ([(175, 215, 215), 'LightCyan3'], 4147.0), ([(28, 28, 28), 'Grey11'], 3048.0), ([(255, 255, 255), 'White'], 2975.0)];[([(0, 0, 0), 'Black'], 6960.0), ([(192, 192, 192), 'Silver'], 5480.0), ([(128, 128, 128), 'Gray'], 4497.0), ([(255, 255, 255), 'White'], 2535.0), ([(128, 0, 0), 'Maroon'], 668.0)]
4;4;-5aaJJQFvOg;34;['images\\maxresdefault\\4_GB_-5aaJJQFvOg_0.jpg'];[False];[200];['person', 'person', 'person', 'person', 'person', 'tie', 'person', 'tie', 'tie', 'person'];[0.8760423, 0.72684914, 0.66787523, 0.63907856, 0.62926537, 0.6142755, 0.5575505, 0.5509958, 0.55011684, 0.5349407];" 
";['neutral', 'sad', 'happy', 'happy', 'happy'];[([(18, 18, 18), 'Grey7'], 4862.0), ([(28, 28, 28), 'Grey11'], 4572.0), ([(188, 188, 188), 'Grey74'], 3354.0), ([(175, 175, 215), 'LightSteelBlue3'], 2709.0), ([(8, 8, 8), 'Grey3'], 2500.0)];[([(192, 192, 192), 'Silver'], 7417.0), ([(0, 0, 0), 'Black'], 7300.0), ([(128, 128, 128), 'Gray'], 4304.0), ([(128, 0, 0), 'Maroon'], 795.0), ([(255, 255, 255), 'White'], 578.0)]
5;5;-7tSTUR7FG0;15;['images\\maxresdefault\\5_GB_-7tSTUR7FG0_0.jpg'];[False];[200];['person', 'person', 'person', 'person', 'person'];[0.9571229, 0.92626053, 0.91444457, 0.8616719, 0.60153484];" 
";[];[([(158, 158, 158), 'Grey62'], 8439.0), ([(148, 148, 148), 'Grey58'], 6524.0), ([(168, 168, 168), 'Grey66'], 5776.0), ([(178, 178, 178), 'Grey70'], 4019.0), ([(138, 138, 138), 'Grey54'], 3187.0)];[([(192, 192, 192), 'Silver'], 11690.0), ([(128, 128, 128), 'Gray'], 3877.0), ([(0, 0, 0), 'Black'], 3828.0), ([(255, 255, 255), 'White'], 801.0), ([(0, 0, 128), 'Navy'], 283.0)]
6;6;-8X32zNup1o;9;['ERROR'];[True];[404];[];[];;[];[];[]
7;7;-A9rYcBmBFo;9;['images\\maxresdefault\\7_GB_-A9rYcBmBFo_0.jpg'];[False];[200];[];[];" 
";['angry', 'fear'];[([(18, 18, 18), 'Grey7'], 7234.0), ([(8, 8, 8), 'Grey3'], 6294.0), ([(95, 0, 0), 'DarkRed'], 5076.0), ([(128, 0, 0), 'Maroon'], 3530.0), ([(28, 28, 28), 'Grey11'], 3105.0)];[([(0, 0, 0), 'Black'], 7389.0), ([(128, 0, 0), 'Maroon'], 5608.0), ([(128, 128, 128), 'Gray'], 5237.0), ([(192, 192, 192), 'Silver'], 1193.0), ([(128, 128, 0), 'Olive'], 499.0)]
8;8;-B7J36GNaDk;6;['images\\maxresdefault\\8_GB_-B7J36GNaDk_0.jpg'];[False];[200];[];[];" 
";[];[([(175, 215, 215), 'LightCyan3'], 7542.0), ([(218, 218, 218), 'Grey85'], 5943.0), ([(208, 208, 208), 'Grey82'], 4245.0), ([(215, 215, 215), 'Grey84'], 3650.0), ([(198, 198, 198), 'Grey78'], 3124.0)];[([(192, 192, 192), 'Silver'], 12104.0), ([(128, 128, 128), 'Gray'], 6417.0), ([(255, 255, 255), 'White'], 1030.0), ([(0, 128, 128), 'Teal'], 815.0), ([(0, 0, 0), 'Black'], 236.0)]
9;9;-BDImdAfodA;32;['images\\maxresdefault\\9_GB_-BDImdAfodA_0.jpg'];[False];[200];['person'];[0.90380037];" 
";['happy'];[([(28, 28, 28), 'Grey11'], 4443.0), ([(38, 38, 38), 'Grey15'], 4313.0), ([(48, 48, 48), 'Grey19'], 3800.0), ([(58, 58, 58), 'Grey23'], 3019.0), ([(18, 18, 18), 'Grey7'], 2665.0)];[([(192, 192, 192), 'Silver'], 8208.0), ([(128, 128, 128), 'Gray'], 7652.0), ([(128, 0, 0), 'Maroon'], 1623.0), ([(0, 0, 0), 'Black'], 1402.0), ([(128, 128, 0), 'Olive'], 870.0)]
