;words
0;gordon
1;ramsay
2;bbc
3;gordon
4;ramsay
5;morn
6;bbc
7;bbc
8;x
9;factor
10;uk
11;bbc
12;gordon
13;ramsay
14;discoveri
15;uk
16;bbc
17;morn
18;morn
19;morn
20;morn
21;offic
22;late
23;late
24;show
25;jame
26;corden
27;got
28;talent
29;global
30;morn
31;offic
32;morn
33;offic
34;late
35;show
36;stephen
37;colbert
38;asia
39;got
40;talent
41;ladbibl
42;tv
43;got
44;talent
45;global
46;morn
47;morn
48;offic
49;x
50;factor
51;global
52;discoveri
53;uk
54;offic
55;channel
56;4
57;doctor
58;offic
59;bbc
60;channel
61;4
62;got
63;talent
64;global
65;bbc
66;got
67;talent
68;global
69;ladbibl
70;tv
71;channel
72;4
73;got
74;talent
75;global
76;discoveri
77;uk
78;got
79;talent
80;global
81;got
82;talent
83;global
84;offic
85;x
86;factor
87;global
88;discoveri
89;uk
90;discoveri
91;uk
92;got
93;talent
94;global
95;x
96;factor
97;global
98;grand
99;tour
100;morn
101;channel
102;4
103;popbuzz
104;grand
105;tour
106;asia
107;got
108;talent
109;grand
110;tour
111;bbc
112;x
113;factor
114;global
115;got
116;talent
117;global
118;grand
119;tour
120;morn
121;bbc
122;gordon
123;ramsay
124;x
125;factor
126;global
127;x
128;factor
129;global
130;asia
131;got
132;talent
133;asia
134;got
135;talent
136;discoveri
137;uk
138;channel
139;4
140;ladbibl
141;tv
142;popbuzz
143;asia
144;got
145;talent
146;offic
147;gordon
148;ramsay
149;x
150;factor
151;global
152;grand
153;tour
154;star
155;war
156;voic
157;afriqu
158;x
159;factor
160;global
161;guin
162;world
163;record
164;discoveri
165;uk
166;grand
167;tour
168;offic
169;discoveri
170;uk
171;asia
172;got
173;talent
174;offic
175;cartoon
176;network
177;uk
178;channel
179;4
180;gordon
181;ramsay
182;got
183;talent
184;global
185;slow
186;mo
187;guy
188;offic
189;royal
190;opera
191;hous
192;royal
193;music
194;discoveri
195;uk
196;voic
197;afriqu
198;soni
199;pictur
200;entertain
201;chase
202;good
203;morn
204;britain
205;mr
206;porter
207;slow
208;mo
209;guy
210;chase
211;littl
212;big
213;shot
214;uk
215;alan
216;carr
217;chatti
218;man
219;bbc
220;strict
221;come
222;danc
223;bbc
224;strict
225;come
226;danc
227;english
228;heritag
229;king
230;academi
231;wpb
232;fl
233;royal
234;opera
235;hous
236;morn
237;bootleg
238;boy
239;2
240;alarabi
241;tv
242;bootleg
243;boy
244;2
245;ted
246;en
247;espaol
248;blackpink
249;ndtv
250;bootleg
251;boy
252;2
253;buzzfeedvideo
254;le
255;mond
256;royal
257;famili
258;anna
259;recetasfacil
260;le
261;mond
262;marco
263;montemagno
264;ted
265;ramsey
266;show
267;highlight
268;tv
269;2
270;ndr
271;doku
272;vlogbroth
273;bootleg
274;boy
275;2
276;buzzfe
277;unsolv
278;network
279;sandeep
280;maheshwari
281;ted
282;buzzfeedvideo
283;sandeep
284;maheshwari
285;anna
286;recetasfacil
287;ndr
288;doku
289;blackpink
290;sandeep
291;maheshwari
292;bodi
293;coach
294;tv
295;le
296;mond
297;cartoon
298;kid
299;cocinar
300;gozar
301;basil
302;elhaj
303;zoe
304;sugg
305;las
306;receta
