;number;id;count;thumbnail_path;error;status;obj_names;obj_scores;ocr_texts;emotions;colors;cropped_colors;gray_mean_score;color_mean_score;gray_hist_score;red_hist_score;green_hist_score;blue_hist_score;edges_score;entropy_score;vevo
0;0;-0CMnp02rNY;6;['images\\maxresdefault\\0_US_-0CMnp02rNY_0.jpg'];[False];[200];['person', 'vase', 'dining table', 'chair', 'cup', 'person', 'dog'];[0.8474514, 0.78692806, 0.71544576, 0.63851637, 0.6281883, 0.59479034, 0.5499292];" 
";['sad'];[([(0, 95, 215), 'DodgerBlue3'], 3998.0), ([(18, 18, 18), 'Grey7'], 3307.0), ([(255, 215, 215), 'MistyRose1'], 2613.0), ([(215, 215, 175), 'LightYellow3'], 2022.0), ([(28, 28, 28), 'Grey11'], 1873.0)];[([(192, 192, 192), 'Silver'], 7159.0), ([(128, 128, 128), 'Gray'], 4224.0), ([(0, 0, 0), 'Black'], 2838.0), ([(255, 255, 255), 'White'], 1719.0), ([(128, 0, 0), 'Maroon'], 1382.0)];1021316.0;1033146.0;3622.84814453125;5218.96435546875;4109.29052734375;2019.3846435546875;1678611.0;287.90653243336;False
1;1;-0NYY8cqdiQ;1;['images\\maxresdefault\\1_US_-0NYY8cqdiQ_0.jpg'];[False];[200];['person', 'dining table', 'potted plant', 'cup', 'vase', 'person'];[0.7430678, 0.7036239, 0.65280753, 0.61946386, 0.600398, 0.56263417];" 
";[];[([(255, 215, 215), 'MistyRose1'], 4262.0), ([(18, 18, 18), 'Grey7'], 3818.0), ([(198, 198, 198), 'Grey78'], 3016.0), ([(0, 95, 215), 'DodgerBlue3'], 2881.0), ([(8, 8, 8), 'Grey3'], 2731.0)];[([(192, 192, 192), 'Silver'], 6262.0), ([(0, 0, 0), 'Black'], 5751.0), ([(128, 128, 128), 'Gray'], 4932.0), ([(255, 255, 255), 'White'], 1532.0), ([(0, 255, 255), 'Cyan'], 674.0)];1020894.0;995668.0;4376.873046875;5956.43359375;4729.2060546875;2952.30712890625;1678915.0;280.1648552797163;False
2;2;-1Hm41N0dUs;3;['images\\maxresdefault\\2_US_-1Hm41N0dUs_0.jpg'];[False];[200];['person', 'person'];[0.79671276, 0.7358824];" 
";['happy'];[([(8, 8, 8), 'Grey3'], 8326.0), ([(135, 95, 95), 'LightPink4'], 4216.0), ([(215, 215, 215), 'Grey84'], 4148.0), ([(198, 198, 198), 'Grey78'], 3780.0), ([(18, 18, 18), 'Grey7'], 3344.0)];[([(192, 192, 192), 'Silver'], 6733.0), ([(128, 128, 128), 'Gray'], 5548.0), ([(0, 0, 0), 'Black'], 5266.0), ([(128, 0, 0), 'Maroon'], 2274.0), ([(128, 128, 0), 'Olive'], 830.0)];1186384.0;1090669.0;4591.17919921875;4857.1435546875;4557.974609375;4017.3193359375;1679340.0;263.4387369866148;False
3;3;-1yT-K3c6YI;4;['images\\maxresdefault\\3_US_-1yT-K3c6YI_0.jpg'];[False];[200];['person'];[0.85720253];" 
";['happy', 'happy'];[([(255, 175, 215), 'Pink1'], 4759.0), ([(255, 95, 175), 'HotPink'], 3936.0), ([(38, 38, 38), 'Grey15'], 3773.0), ([(48, 48, 48), 'Grey19'], 3302.0), ([(58, 58, 58), 'Grey23'], 2503.0)];[([(192, 192, 192), 'Silver'], 7204.0), ([(0, 0, 0), 'Black'], 5067.0), ([(128, 128, 128), 'Gray'], 3974.0), ([(255, 255, 255), 'White'], 1814.0), ([(128, 128, 0), 'Olive'], 812.0)];974135.0;957931.0;4858.8154296875;4915.59765625;4217.33935546875;5092.3408203125;1678575.0;286.4221484955955;False
4;4;-2RVw2_QyxQ;3;['images\\maxresdefault\\4_US_-2RVw2_QyxQ_0.jpg'];[False];[200];['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person'];[0.8773748, 0.8426751, 0.8256461, 0.7925309, 0.7650903, 0.74362123, 0.73679274, 0.71685123];" 

re Champions
Moy

g°
oe
";['happy', 'happy', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'happy'];[([(0, 95, 135), 'DeepSkyBlue4'], 15117.0), ([(238, 238, 238), 'Grey93'], 6759.0), ([(0, 95, 95), 'DeepSkyBlue4'], 6405.0), ([(255, 255, 255), 'White'], 5456.0), ([(228, 228, 228), 'Grey89'], 2425.0)];[([(0, 128, 128), 'Teal'], 6771.0), ([(128, 128, 128), 'Gray'], 5335.0), ([(192, 192, 192), 'Silver'], 2985.0), ([(255, 255, 255), 'White'], 2644.0), ([(0, 0, 0), 'Black'], 1605.0)];1348094.0;1238395.0;7183.71826171875;7029.45849609375;7078.50146484375;6474.3759765625;1679281.0;328.215879190024;False
5;5;-2aVkGcI7ZA;4;['images\\maxresdefault\\5_US_-2aVkGcI7ZA_0.jpg'];[False];[200];['person', 'person'];[0.96502477, 0.9515114];" 
";['happy', 'happy'];[([(95, 0, 0), 'DarkRed'], 4446.0), ([(255, 255, 255), 'White'], 4340.0), ([(8, 8, 8), 'Grey3'], 4271.0), ([(0, 0, 0), 'Black'], 4197.0), ([(68, 68, 68), 'Grey27'], 3942.0)];[([(128, 128, 128), 'Gray'], 7126.0), ([(128, 0, 0), 'Maroon'], 6586.0), ([(0, 0, 0), 'Black'], 2436.0), ([(192, 192, 192), 'Silver'], 1758.0), ([(255, 0, 0), 'Red'], 1230.0)];1459191.0;1323758.0;5756.3515625;5978.1865234375;5903.16259765625;3730.85791015625;1679491.0;244.1416313922892;False
6;6;-2b4qSoMnKE;2;['images\\maxresdefault\\6_US_-2b4qSoMnKE_0.jpg'];[False];[200];['person'];[0.6905044];" 

 
";['neutral'];[([(28, 28, 28), 'Grey11'], 20045.0), ([(38, 38, 38), 'Grey15'], 8923.0), ([(18, 18, 18), 'Grey7'], 7503.0), ([(135, 95, 95), 'LightPink4'], 3620.0), ([(215, 0, 0), 'Red3'], 2515.0)];[([(0, 0, 0), 'Black'], 10358.0), ([(128, 128, 128), 'Gray'], 6474.0), ([(128, 0, 0), 'Maroon'], 1816.0), ([(128, 128, 0), 'Olive'], 960.0), ([(255, 0, 0), 'Red'], 544.0)];1350436.0;607828.0;7794.6552734375;8316.974609375;8652.365234375;6662.32080078125;1679820.0;361.3555657247454;False
7;7;-2wRFv-mScQ;4;['images\\maxresdefault\\7_US_-2wRFv-mScQ_0.jpg'];[False];[200];['person'];[0.79387385];" 

TTC \
";['happy'];[([(0, 0, 95), 'NavyBlue'], 5274.0), ([(58, 58, 58), 'Grey23'], 4893.0), ([(255, 255, 255), 'White'], 4383.0), ([(0, 0, 0), 'Black'], 4215.0), ([(68, 68, 68), 'Grey27'], 3439.0)];[([(128, 128, 128), 'Gray'], 6311.0), ([(255, 255, 255), 'White'], 3051.0), ([(128, 128, 0), 'Olive'], 2449.0), ([(0, 0, 0), 'Black'], 2283.0), ([(255, 0, 0), 'Red'], 1926.0)];1338603.0;1080504.0;3611.2265625;3841.8251953125;3539.773193359375;2842.595703125;1678787.0;270.4565839148839;False
8;8;-35jibKqbEo;8;['ERROR'];[True];[404];[];[];;[];[];[];;;;;;;;;
9;9;-37nIo_tLnk;8;['ERROR'];[True];[404];[];[];;[];[];[];;;;;;;;;
